Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.682166
[198]	validation_0-logloss:0.563145
[199]	validation_0-logloss:0.563178
[200]	validation_0-logloss:0.563147
[201]	validation_0-logloss:0.563196
[202]	validation_0-logloss:0.563195
[203]	validation_0-logloss:0.56321
[204]	validation_0-logloss:0.563253
[205]	validation_0-logloss:0.56325
[206]	validation_0-logloss:0.563292
[207]	validation_0-logloss:0.563329
[208]	validation_0-logloss:0.563331
[209]	validation_0-logloss:0.563339
[210]	validation_0-logloss:0.56338
[211]	validation_0-logloss:0.56337
[212]	validation_0-logloss:0.563381
[213]	validation_0-logloss:0.563384
[214]	validation_0-logloss:0.563368
[215]	validation_0-logloss:0.563333
[216]	validation_0-logloss:0.563378
[217]	validation_0-logloss:0.563437
Stopping. Best iteration:
