Using Theano backend.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is enabled with initial size: 95.0% of memory, cuDNN 5105)
Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.681994
[132]	validation_0-logloss:0.598505
[133]	validation_0-logloss:0.598643
[134]	validation_0-logloss:0.598912
[135]	validation_0-logloss:0.599042
[136]	validation_0-logloss:0.599036
[137]	validation_0-logloss:0.599063
[138]	validation_0-logloss:0.599091
[139]	validation_0-logloss:0.599058
[140]	validation_0-logloss:0.599066
[141]	validation_0-logloss:0.599167
[142]	validation_0-logloss:0.599134
[143]	validation_0-logloss:0.599148
[144]	validation_0-logloss:0.599164
[145]	validation_0-logloss:0.599143
[146]	validation_0-logloss:0.599042
[147]	validation_0-logloss:0.599064
[148]	validation_0-logloss:0.598972
[149]	validation_0-logloss:0.599067
[150]	validation_0-logloss:0.598888
[151]	validation_0-logloss:0.598736
[152]	validation_0-logloss:0.598757
[153]	validation_0-logloss:0.598871
[154]	validation_0-logloss:0.598856
Stopping. Best iteration:
